backend,collective,topology,nodes,shape,dims,size_bytes,link_bw_GBps,link_lat_ns,latency_ns
analytical,all_reduce,switch,4,4,1,1024,50.0,500.0,24304
analytical,all_reduce,switch,4,4,1,4096,50.0,500.0,24376
analytical,all_reduce,switch,4,4,1,16384,50.0,500.0,24736
analytical,all_reduce,switch,4,4,1,65536,50.0,500.0,26176
analytical,all_reduce,switch,4,4,1,262144,50.0,500.0,31960
analytical,all_reduce,switch,4,4,1,1048576,50.0,500.0,55000
analytical,all_reduce,switch,4,4,1,4194304,50.0,500.0,147316
analytical,all_reduce,switch,4,4,1,16777216,50.0,500.0,516604
analytical,all_reduce,switch,4,4,1,67108864,50.0,500.0,1993636
analytical,all_reduce,switch,4,4,1,268435456,50.0,500.0,7901740
analytical,all_reduce,switch,4,4,1,1073741824,50.0,500.0,31534228
analytical,all_reduce,torus2d,4,2x2,2,1024,50.0,500.0,5172
analytical,all_reduce,torus2d,4,2x2,2,4096,50.0,500.0,5210
analytical,all_reduce,torus2d,4,2x2,2,16384,50.0,500.0,5391
analytical,all_reduce,torus2d,4,2x2,2,65536,50.0,500.0,6111
analytical,all_reduce,torus2d,4,2x2,2,262144,50.0,500.0,9280
analytical,all_reduce,torus2d,4,2x2,2,1048576,50.0,500.0,24660
analytical,all_reduce,torus2d,4,2x2,2,4194304,50.0,500.0,86204
analytical,all_reduce,torus2d,4,2x2,2,16777216,50.0,500.0,332376
analytical,all_reduce,torus2d,4,2x2,2,67108864,50.0,500.0,1317064
analytical,all_reduce,torus2d,4,2x2,2,268435456,50.0,500.0,5255812
analytical,all_reduce,torus2d,4,2x2,2,1073741824,50.0,500.0,21010792
analytical,all_reduce,switch,8,8,1,1024,50.0,500.0,56600
analytical,all_reduce,switch,8,8,1,4096,50.0,500.0,56712
analytical,all_reduce,switch,8,8,1,16384,50.0,500.0,57104
analytical,all_reduce,switch,8,8,1,65536,50.0,500.0,58812
analytical,all_reduce,switch,8,8,1,262144,50.0,500.0,65532
analytical,all_reduce,switch,8,8,1,1048576,50.0,500.0,92440
analytical,all_reduce,switch,8,8,1,4194304,50.0,500.0,200100
analytical,all_reduce,switch,8,8,1,16777216,50.0,500.0,630908
analytical,all_reduce,switch,8,8,1,67108864,50.0,500.0,2354112
analytical,all_reduce,switch,8,8,1,268435456,50.0,500.0,9246928
analytical,all_reduce,switch,8,8,1,1073741824,50.0,500.0,36818164
analytical,all_reduce,torus2d,8,2x4,2,1024,50.0,500.0,13324
analytical,all_reduce,torus2d,8,2x4,2,4096,50.0,500.0,13386
analytical,all_reduce,torus2d,8,2x4,2,16384,50.0,500.0,13615
analytical,all_reduce,torus2d,8,2x4,2,65536,50.0,500.0,14587
analytical,all_reduce,torus2d,8,2x4,2,262144,50.0,500.0,18428
analytical,all_reduce,torus2d,8,2x4,2,1048576,50.0,500.0,33805
analytical,all_reduce,torus2d,8,2x4,2,4194304,50.0,500.0,95331
analytical,all_reduce,torus2d,8,2x4,2,16777216,50.0,500.0,341506
analytical,all_reduce,torus2d,8,2x4,2,67108864,50.0,500.0,1326194
analytical,all_reduce,torus2d,8,2x4,2,268435456,50.0,500.0,5264945
