backend,collective,topology,nodes,shape,dims,size_bytes,link_bw_GBps,link_lat_ns,latency_ns
analytical,all_reduce,switch,8,8,1,16384,50.0,500.0,57104
analytical,all_reduce,ring1d,8,8,1,16384,50.0,500.0,29104
analytical,all_reduce,switch,8,8,1,65536,50.0,500.0,58812
analytical,all_reduce,ring1d,8,8,1,65536,50.0,500.0,30812
analytical,all_reduce,switch,8,8,1,262144,50.0,500.0,65532
analytical,all_reduce,ring1d,8,8,1,262144,50.0,500.0,37532
analytical,all_reduce,switch,8,8,1,1048576,50.0,500.0,92440
analytical,all_reduce,ring1d,8,8,1,1048576,50.0,500.0,64440
analytical,all_reduce,switch,8,8,1,4194304,50.0,500.0,200100
analytical,all_reduce,ring1d,8,8,1,4194304,50.0,500.0,172100
analytical,all_reduce,switch,8,8,1,16777216,50.0,500.0,630908
analytical,all_reduce,ring1d,8,8,1,16777216,50.0,500.0,602908
